title,count,comment_text,vote,reply,date
Música tema - KIC 2022 | Honor of Kings Brasil,88,"Agora todo mundo do Brasil é negro né, vou falar nada",1,0,3 weeks ago (edited)
Música tema - KIC 2022 | Honor of Kings Brasil,88,Faltou algo.,0,0,5 months ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Quando começa o campeonato?,2,5 replies,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"When available play store honor of 
 king Brazil server",1,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,,0,0,5 months ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,ai vc me fala que isso dai n é copiar a riot kkkkkkkkkk o fd é que ela até já desistiu de processar esses cara mn... porque É TODA HORA VEEEEEY KKKKKKKK,3,2 replies,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,Credo,2,0,1 year ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,垃圾游戏，凉了吧,0,0,7 months ago
Música tema - KIC 2022 | Honor of Kings Brasil,88,"que sacanagem, porque o Brasil só é representado por esse tipo de gente 
literalmente em todos os jogos ou o Brasil é representado pela Amazônia ou por esse tipo de gente cujo não irei citar detalhes",3,0,11 months ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Olha a atenção do Honor of Kings fazendo um vídeo exclusivo para o Brasil! E o vídeo ficou LINDO, não vejo a hora de lançar 
O único problema que está dando erro na play store, fica a mensagem que o jogo não esta disponível  para esse país então não estou conseguindo fazer o pré-registro
Emocionei-me com esse vídeo. Que cuidado pra retratar partes da nossa cultura nesse vídeo, respeito vindo do povo chinês para conosco. Hype reelevado pra o lancamento do jogo. Vem logo, Honor Of Kings!
 @mycaeldasilvadejesus3580 
 Fala Mycael, sua conta da Play Store está registrada no Brasil? Chama a gente no discord que vamos tentar ajudar!
Também estamos ansiosos 
 @honorofkingsbrasil 
 eu tinha uma conta já, eu não vou perder não né?(criei e upei ela enquanto eu conseguia jogar o acesso antecipado.)
BOTA LINDO NISSO AMOS VER SE AGORA TA RODANDO EM CELULARES FRACO NÉH SE NAO VAI SER FLOP TOTAL
 @INSANOSfpsOficial 
 cê jogou o acesso antecipado? O jogo tá lindo. Rodando mto bem no meu motog20
 @Ojosevinicius 
 Óbvio que tu vai perder, tu ganhou 10k de tickets pow kkkkkkkkk
 @Rrafael69 
 e daí, é como uma recompensa de quem joga acesso antecipado, igual eu tenho no cód uma arma de early acesa.
 @Ojosevinicius 
 Mas a empresa já cansou de falar que as contas vão ser resetadas",637,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Um jogo de origem chinesa com uma carga cultural e histórica pesada desse país, respeitando muito a cultura e povo brasileiro nesse vídeo S-E-N-S-A-C-I-O-N-A-L ! Ganhei meu dia vendo esse vídeo! Correu uma lágrima sorrateira do meu olho, cara ! A staff do Honor Of Kings tem meu respeito!
Agradecemos demais, Fernando! E é só o começo, vamos ainda mais longe juntos com a comunidade br 
 @honorofkingsbrasil 
 Pode me ajudar, quando eu abaixava e entra no jogo ele sai sozinho o que eu devo fazer ?
 @diogoteles7307 
 Fala Diogo, vários bugs vão ser corrigidos no lançamento. Caso encontre algum problema após o lançamento, pode entrar em contato com a gente pelo nosso servidor do discord ou no nosso instagram/facebook ou twitter.
 @honorofkingsbrasil 
 Ok, obrigado estou ansioso para jogar o jogo
 @honorofkingsbrasil 
 tomara que seja esse mês ainda tô torcendo pra isso
Amo demais esse jogo cara veio pra ficar no Br...bem vindos .
Respeito?
 @honorofkingsbrasil 
 Tmj !
 @haumsegundoatras4102 
 Desrespeito ? Só falta tu falar que teve isso.",321,0,1 year ago (edited)
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"O Brasil sempre foi deixado de lado pela maioria dos jogos, aquele sentimento de que somos só mais um  e que não temos tanta importância. O jogo nem lançou oficialmente, mas já é tão PERFEITO ver o carinho que o HoK está tendo com o Brasil. Primeiro canto a ter o pre-registro, um vídeo totalmente MARAVILHOSO feito com carinho só para o Brasil é de aquecer o coração. Espero toda a equipe do HoK saiba que o Brasil se derreteu com esse vídeo! PERFEITO! Só continuar nesse caminho que com certeza se torna o moba mais jogado e AMADO do Brasil! Meu amor o jogo já tem.
Estamos fechados com o Brasil 🫶 hahaha
 @honorofkingsbrasil 
 Việt Nam ra chưa z 🇸🇷🇸🇷🇸🇷🇸🇷",148,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Por favor que o jogo dê certo!! Invistam bastante em anúncios pra competir com Mobile Legends
Esse jogo tem que dar certo ele é Perfeito 
️
️
️",25,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"crl a moral que eles estão dando pra gente, espero q o jogo esteja cheio de recompensas maneiras e que esteja maravilhoso.
Estamos trabalhando muito para que seja o melhor game possível! 
​
 @honorofkingsbrasil 
 e será.",84,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"a moral q os cr tão dando pros br 🇧🇷
️
HoK 
 Brasil
Kkk bela moral de favela
 @Happ1n3ss 
 não que sabia mas você entendeu o que eu quis dizer?
 @haumsegundoatras4102 
 Já viu o Brasil ter mais prédios de ricos doq favela?
​
 @haumsegundoatras4102 
 vsfdkkkkkk",187,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Somos o Primeiro País a entrar em Pré Registro!
Olha esse Video Maravilhoso
Ying na FAVELA do Rio de Janeiro!!
Tem coisa mais linda do que isso??? 
️
️
️
Vou divulgar o Honor of Kings com todas as minhas forças os cara tão dando muita moral pra nós 
quem dera se meus amigos jogassem mobas mais vou jogar quando meu cell chegar
 @HARTEPLQ. 
 tbm vou 
Agradecemos pelo apoio pessoal 
​
 @HARTEPLQ. 
 Chega junto no nosso discord, lá você consegue fazer novos amigos e encontrar pessoas para jogar com você 
So falto a a AK na mão da Ying....mais isso a gente releva ficou lindo
 @HARTEPLQ. 
 Se preocupa não mano, eu jogo contigo
Roubaram a lança dela :(",83,0,1 year ago (edited)
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Maluco! Eu tava desanimado com a demora do lançamento, mas depois de ver o cuidado e o capricho que o HoK ta tendo com os brasileiros o Hype até voltou!",21,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,"Só por causa dessa cinematic o jogo já me ganhou, pensaram na comunidade BR e é raro acontecer , muito obrigado por pensar na em nós! Vou jogar muito Honor of Kings em 2023
️
️
️",13,0,1 year ago
"E aí, Brasil｜Anúncio de pré-registro｜Honor of Kings",609,Honor of kings realmente viu a cultura do país além do futebol,5,0,7 months ago
